link,latitude,longitude,valor,iptu,condominio,area,quartos,banheiros,suites,vagas
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-98m2-venda-RS600000-id-2430519174/,-8.126543,-34.897662,R$ 600.000,R$ 2.500,R$ 700,98,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-61m2-venda-RS320000-id-1042177600/,-34.906874,-8.12494,R$ 320.000,,R$ 390,61,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-62m2-venda-RS400000-id-1042570343/,-8.114403,-34.895476,R$ 400.000,,R$ 415,62,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS449000-id-2431424378/,-8.139647,-34.90546,R$ 449.000,R$ 3.400,R$ 1.200,130,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-142m2-venda-RS420000-id-2434994976/,-8.116514,-34.900041,R$ 420.000,R$ 1.800,R$ 700,142,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS490000-id-2447324994/,-8.125743,-34.90805,R$ 490.000,,R$ 950,110,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-61m2-venda-RS320000-id-2441025601/,-8.12494,-34.906874,R$ 320.000,Não informado,Não informado,61,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-104m2-venda-RS650000-id-2443342719/,-34.906251,-8.140695,R$ 650.000,R$ 2.600,R$ 800,104,3,1,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS650000-id-2433399521/,-8.114697,-34.901839,R$ 650.000,,R$ 600,100,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-60m2-venda-RS329000-id-2438301128/,-8.139068,-34.908992,R$ 329.000,,R$ 400,60,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-5-quartos-boa-viagem-bairros-recife-com-garagem-180m2-venda-RS1050000-id-2445027502/,-8.126271,-34.903793,R$ 1.050.000,Não informado,Não informado,180,5,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS850000-id-1040956105/,-8.146475,-34.906581,R$ 850.000,R$ 2.500,R$ 1.250,110,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-190m2-venda-RS780000-id-2435347781/,-8.138424,-34.904389,R$ 780.000,R$ 3.600,R$ 1.350,190,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-163m2-venda-RS1330000-id-2445790093/,-8.110381,-34.895605,R$ 1.330.000,Não informado,Não informado,163,4,5,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-265m2-venda-RS2000000-id-2445558833/,-8.159529,-34.911184,R$ 2.000.000,,R$ 1.500,265,4,5,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-401m2-venda-RS5000000-id-72250194/,-8.132909,-34.900405,R$ 5.000.000,,R$ 3.000,401,4,5,4 suítes,5
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-431m2-venda-RS1200000-id-2437073079/,-8.11448,-34.892636,R$ 1.200.000,,R$ 1.100,431,4,5,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-135m2-venda-RS630000-id-1038937708/,-8.126405,-34.904267,R$ 630.000,R$ 2.300,R$ 850,135,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-77m2-venda-RS520000-id-1385825478/,-8.110091,-34.898818,R$ 520.000,R$ 1.930,R$ 508,77,2,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-29m2-venda-RS260000-id-2429927702/,-8.094541,-34.883581,R$ 260.000,Não informado,Não informado,29,1,1,,1
https://www.vivareal.com.br/imovel/apartamento-5-quartos-boa-viagem-bairros-recife-com-garagem-180m2-venda-RS800000-id-2446394454/,-34.901861,-8.12728,R$ 800.000,Não informado,Não informado,180,5,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-105m2-venda-RS650000-id-2437936575/,-8.140695,-34.906251,R$ 650.000,Não informado,Não informado,105,3,2,1 suíte,
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-81m2-venda-RS625000-id-2445888622/,-8.114079,-34.898062,R$ 625.000,Não informado,Não informado,81,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-69m2-venda-RS379000-id-2437862292/,-34.905914,-8.132956,R$ 379.000,,R$ 700,69,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-165m2-venda-RS880000-id-2445669847/,-8.139549,-34.903039,R$ 880.000,R$ 2.500,R$ 1.100,165,4,4,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-155m2-venda-RS1850000-id-1039627868/,-8.108338,-34.890056,R$ 1.850.000,Não informado,Não informado,155,4,5,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-97m2-venda-RS730000-id-1039502296/,-8.113502,-34.901379,R$ 730.000,R$ 2.300,R$ 450,97,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-74m2-venda-RS250000-id-2435475973/,-8.115324,-34.89553,R$ 250.000,R$ 120,R$ 450,74,2,2,,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-156m2-venda-RS1100000-id-2429319580/,-8.100434,-34.885911,R$ 1.100.000,Não informado,Não informado,156,4,5,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-94m2-venda-RS250000-id-2445346278/,-8.114043,-34.893108,R$ 250.000,,R$ 550,94,3,2,,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-52m2-venda-RS267750-id-94925666/,-8.122122,-34.902885,R$ 267.750,,R$ 338,52,2,2,,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS380000-id-2437829996/,-8.113721,-34.89884,R$ 380.000,R$ 1.777,R$ 700,110,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-44m2-venda-RS450000-id-2441027973/,-8.116547,-34.894347,R$ 450.000,Não informado,Não informado,44,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-92m2-venda-RS530000-id-2431383282/,-8.135123,-34.903577,R$ 530.000,,R$ 900,92,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-73m2-venda-RS350000-id-2443983071/,-8.109453,-34.906829,R$ 350.000,Não informado,Não informado,73,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-180m2-venda-RS950000-id-1037368380/,-8.139623,-34.903898,R$ 950.000,R$ 3.700,R$ 1.060,180,4,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-48m2-venda-RS269000-id-2432635813/,-8.133874,-34.909775,R$ 269.000,R$ 1.004,R$ 360,48,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-160m2-venda-RS945000-id-1039023994/,-8.129364,-34.899464,R$ 945.000,R$ 600,R$ 1.020,160,3,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-95m2-venda-RS350000-id-1042213540/,-8.124695,-34.900252,R$ 350.000,R$ 1.800,,95,3,2,,4
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-236m2-venda-RS1680000-id-2443659980/,-8.125779,-34.897469,R$ 1.680.000,,R$ 1.600,236,4,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-96m2-venda-RS594000-id-2433861119/,-8.140683,-34.909545,R$ 594.000,,R$ 500,96,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-170m2-venda-RS1600000-id-1039593884/,-8.137055,-34.902483,R$ 1.600.000,R$ 547,R$ 800,170,4,1,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-81m2-venda-RS310000-id-2429016610/,-8.137478,-34.912307,R$ 310.000,R$ 1.108,R$ 350,81,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-5-quartos-boa-viagem-bairros-recife-com-garagem-244m2-venda-RS2700000-id-2446710093/,-8.128491,-34.898432,R$ 2.700.000,Não informado,Não informado,244,5,6,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-81m2-venda-RS300000-id-2429016487/,-8.137478,-34.912307,R$ 300.000,R$ 1.108,R$ 350,81,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-217m2-venda-RS2800000-id-1039182914/,-8.131379,-34.899744,R$ 2.800.000,R$ 8.040,R$ 1.750,217,4,6,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-99m2-venda-RS635000-id-1040333000/,-8.114722,-34.901409,R$ 635.000,R$ 3.000,R$ 550,99,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-113m2-venda-RS580000-id-2438531382/,-34.907149,-8.140867,R$ 580.000,,R$ 750,113,3,2,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-124m2-venda-RS789808-id-1042773979/,-8.115883,-34.900302,R$ 789.808,Não informado,Não informado,124,4,2,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-60m2-venda-RS312000-id-2430063286/,-8.139068,-34.908992,R$ 312.000,R$ 1.000,R$ 500,60,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-155m2-venda-RS1100000-id-2443928335/,-8.13524,-34.902668,R$ 1.100.000,Não informado,Não informado,155,3,4,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-120m2-venda-RS750000-id-1755875478/,-8.146564,-34.906632,R$ 750.000,,R$ 1.200,120,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-84m2-venda-RS310000-id-2446112001/,-8.140203,-34.908818,R$ 310.000,Não informado,Não informado,84,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-124m2-venda-RS1230000-id-2443972982/,-8.143199,-34.904504,R$ 1.230.000,R$ 500,R$ 1.700,124,3,4,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-130m2-venda-RS690000-id-2443493884/,-8.111961,-34.890152,R$ 690.000,R$ 220,R$ 800,130,3,3,1 suíte,
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-72m2-venda-RS455000-id-1039286789/,-8.138637,-34.904632,R$ 455.000,R$ 1.500,R$ 800,72,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-52m2-venda-RS450000-id-1039231481/,-8.124737,-34.896961,R$ 450.000,R$ 3.000,R$ 800,52,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS650000-id-83069282/,-8.126445,-34.904015,R$ 650.000,R$ 2.000,R$ 700,100,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-75m2-venda-RS270000-id-2439659775/,-8.126294,-34.905581,R$ 270.000,,R$ 500,75,2,2,,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-218m2-venda-RS2600000-id-2441229378/,-8.10576,-34.887712,R$ 2.600.000,R$ 7.888,R$ 1.500,218,4,6,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-96m2-venda-RS570000-id-2446112275/,-8.126633,-34.907111,R$ 570.000,Não informado,Não informado,96,4,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-155m2-venda-RS950000-id-2430196610/,-8.143451,-34.907475,R$ 950.000,R$ 5.510,R$ 1.335,155,4,5,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-220m2-venda-RS1300000-id-2445109183/,,,R$ 1.300.000,R$ 12.000,R$ 2.400,220,4,5,1 suíte,3
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-70m2-venda-RS320000-id-2440050531/,-8.124343,-34.907404,R$ 320.000,,R$ 550,70,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-89m2-venda-RS540000-id-2439624386/,-34.908747,-8.126162,R$ 540.000,,R$ 550,89,3,2,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-49m2-venda-RS280000-id-2445973723/,-8.127347,-34.908123,R$ 280.000,R$ 99,R$ 400,49,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-240m2-venda-RS900000-id-2437193675/,-8.116143,-34.893404,R$ 900.000,R$ 3.800,R$ 1.250,240,4,3,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-92m2-venda-RS600000-id-2444903541/,-8.124248,-34.907106,R$ 600.000,R$ 243,R$ 680,92,3,1,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-120m2-venda-RS700000-id-2439078121/,-8.113977,-34.891331,R$ 700.000,Não informado,Não informado,120,2,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-45m2-venda-RS200000-id-2432902412/,-8.127228,-34.909357,R$ 200.000,,R$ 320,45,1,1,,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-185m2-venda-RS1640000-id-1952125480/,-8.116261,-34.899333,R$ 1.640.000,,R$ 750,185,4,6,4 suítes,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-124m2-venda-RS1300000-id-2444698219/,-8.11456,-34.901748,R$ 1.300.000,R$ 335,R$ 900,124,2,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-78m2-venda-RS249000-id-2446963123/,-34.907493,-8.125276,R$ 249.000,,R$ 604,78,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-145m2-venda-RS850000-id-2432355654/,-8.143803,-34.907601,R$ 850.000,,R$ 1.100,145,4,4,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-102m2-venda-RS750000-id-2429758892/,-8.10679,-34.89084,R$ 750.000,R$ 2.200,R$ 700,102,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-170m2-venda-RS650000-id-2444899977/,-8.126271,-34.903793,R$ 650.000,Não informado,Não informado,170,4,3,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS550000-id-1038711621/,-8.117799,-34.894586,R$ 550.000,,R$ 1.000,110,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-89m2-venda-RS350000-id-93054555/,-8.112362,-34.895853,R$ 350.000,R$ 900,R$ 670,89,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-66m2-venda-RS285000-id-2445326874/,-8.122963,-34.901612,R$ 285.000,R$ 1.410,R$ 765,66,2,1,,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-78m2-venda-RS620000-id-2436448282/,-8.110091,-34.898818,R$ 620.000,R$ 2.200,R$ 580,78,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-52m2-venda-RS340000-id-2445674379/,-8.10984,-34.892632,R$ 340.000,Não informado,Não informado,52,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-265m2-venda-RS1400000-id-1644645504/,-8.120861,-34.896562,R$ 1.400.000,Não informado,Não informado,265,4,3,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS260000-id-2438518996/,-8.114337,-34.894518,R$ 260.000,R$ 2.835,R$ 300,100,2,2,,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-297m2-venda-RS1200000-id-2439698640/,-8.126543,-34.897662,R$ 1.200.000,,R$ 2.900,297,4,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-59m2-venda-RS379000-id-2439044607/,-8.109442,-34.898188,R$ 379.000,Não informado,Não informado,59,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-107m2-venda-RS500000-id-2438563093/,-34.907327,-8.122775,R$ 500.000,,R$ 600,107,3,1,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-75m2-venda-RS350000-id-2429955515/,-8.110435,-34.892508,R$ 350.000,,R$ 750,75,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-5-quartos-boa-viagem-bairros-recife-com-garagem-236m2-venda-RS2500000-id-2443916490/,-8.126271,-34.903793,R$ 2.500.000,Não informado,Não informado,236,5,5,5 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-93m2-venda-RS740000-id-2445439279/,-8.108827,-34.893062,R$ 740.000,Não informado,Não informado,93,3,3,1 suíte,3
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-45m2-venda-RS200000-id-2439608801/,-8.127228,-34.909357,R$ 200.000,,R$ 320,45,1,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-95m2-venda-RS448150-id-2436668405/,-8.114153,-34.896663,R$ 448.150,Não informado,Não informado,95,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-150m2-venda-RS1200000-id-2428903799/,-8.139768,-34.902939,R$ 1.200.000,Não informado,Não informado,150,4,5,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-145m2-venda-RS450000-id-2444926609/,-8.117776,-34.898665,R$ 450.000,,R$ 700,145,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-125m2-venda-RS850000-id-2436268010/,-8.11456,-34.901748,R$ 850.000,Não informado,Não informado,125,4,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-234m2-venda-RS1690000-id-2430944690/,-8.125067,-34.897719,R$ 1.690.000,R$ 6.900,R$ 1.600,234,4,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-135m2-venda-RS870000-id-2446450443/,-8.116097,-34.903663,R$ 870.000,Não informado,Não informado,135,4,1,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-132m2-venda-RS385000-id-1042177739/,-8.140804,-34.908045,R$ 385.000,,R$ 350,132,3,1,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-75m2-venda-RS440000-id-2445973815/,-8.110301,-34.893108,R$ 440.000,,R$ 750,75,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-47m2-venda-RS295000-id-2438662090/,-8.110571,-34.896252,R$ 295.000,Não informado,Não informado,47,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS450000-id-2437193383/,-8.138053,-34.906638,R$ 450.000,R$ 2.800,R$ 850,110,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-107m2-venda-RS500000-id-94713757/,-8.126818,-34.903241,R$ 500.000,,R$ 720,107,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-95m2-venda-RS450400-id-2436668291/,-8.114153,-34.896663,R$ 450.400,Não informado,Não informado,95,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-164m2-venda-RS1250000-id-1041187298/,-8.1205,-34.898148,R$ 1.250.000,R$ 5.500,R$ 950,164,4,5,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-75m2-venda-RS265000-id-2446111991/,-8.130362,-34.904439,R$ 265.000,Não informado,Não informado,75,2,1,,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-50m2-venda-RS360000-id-1762715481/,-8.110255,-34.896208,R$ 360.000,R$ 1.980,R$ 450,50,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-65m2-venda-RS349000-id-2438649610/,-8.133448,-34.908887,R$ 349.000,,R$ 450,65,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-155m2-venda-RS1100000-id-2436438429/,-8.145184,-34.907671,R$ 1.100.000,R$ 3.500,R$ 840,155,3,4,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-95m2-venda-RS750000-id-1038977798/,-8.141035,-34.904701,R$ 750.000,R$ 2.000,R$ 800,95,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-105m2-venda-RS650000-id-2444981217/,-8.144744,-34.907369,R$ 650.000,Não informado,Não informado,105,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-50m2-venda-RS310000-id-2170205474/,-8.10836,-34.897414,R$ 310.000,Não informado,Não informado,50,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-63m2-venda-RS420000-id-2438919401/,-8.130663,-34.905639,R$ 420.000,R$ 1.100,R$ 440,63,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-427m2-venda-RS3000000-id-2442690979/,-8.127772,-34.898406,R$ 3.000.000,R$ 120.186,R$ 2.800,427,4,5,4 suítes,4
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-55m2-venda-RS175000-id-1942465479/,-8.110168,-34.89276,R$ 175.000,,R$ 250,55,2,2,,
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-165m2-venda-RS1200000-id-1041187472/,-8.110576,-34.894161,R$ 1.200.000,R$ 3.000,R$ 1.000,165,4,3,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-152m2-venda-RS1248000-id-2439047778/,-8.100293,-34.885823,R$ 1.248.000,Não informado,Não informado,152,4,5,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-94m2-venda-RS239000-id-2446709987/,-8.125072,-34.900199,R$ 239.000,R$ 900,R$ 600,94,3,2,,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-186m2-venda-RS1350000-id-2443964379/,-8.116937,-34.89949,R$ 1.350.000,R$ 3.500,R$ 900,186,4,6,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-109m2-venda-RS370000-id-93508674/,-8.115728,-34.898923,R$ 370.000,Não informado,Não informado,109,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-95m2-venda-RS600000-id-2447064524/,-8.140683,-34.909545,R$ 600.000,R$ 2.000,R$ 450,95,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS310000-id-2436643880/,-8.12515,-34.904833,R$ 310.000,R$ 150,R$ 775,110,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-97m2-venda-RS425000-id-2438404376/,-8.140455,-34.907893,R$ 425.000,,R$ 590,97,2,2,,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-93m2-venda-RS565000-id-2094235474/,-8.140683,-34.909545,R$ 565.000,,R$ 500,93,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-96m2-venda-RS535000-id-2442258682/,-8.140972,-34.909127,R$ 535.000,R$ 1.000,R$ 465,96,3,1,1 suíte,2
